"n","Array","Binet1","Binet2","Iterative","Recursive","Recursive1","Recursive2","Hybrid"
Created:  2021-04-04T04:55:42Z  Fibonacci:  1.0.1
141,260.4,,,39294.0,,,13909.8,1663.9
142,261.1,,,39423.4,,,13984.2,1702.1
143,260.3,,,39887.7,,,14328.3,1702.7
144,260.8,,,39870.6,,,14356.9,1734.2
145,260.7,,,40301.8,,,14696.1,1701.0
146,261.7,,,40845.4,,,14704.0,1728.4
147,260.4,,,40902.1,,,14968.0,1631.1
148,260.2,,,41183.7,,,15046.9,1735.6
149,260.0,,,41531.8,,,15360.5,1670.5
150,260.1,,,41789.0,,,15404.6,1732.9
151,260.5,,,42203.2,,,15744.3,1692.7
152,260.3,,,42570.8,,,15826.2,1767.0
153,260.0,,,42872.0,,,16076.9,1635.9
154,260.1,,,43196.2,,,16107.3,1683.1
155,260.1,,,43490.8,,,16492.6,1699.5
156,260.1,,,43678.0,,,16514.9,1752.4
157,260.5,,,43979.1,,,16904.6,2164.0
158,260.2,,,44238.1,,,16924.0,2206.8
159,260.0,,,44572.9,,,17294.9,2643.0
160,260.2,,,44873.9,,,17369.6,2722.4
161,260.2,,,45197.0,,,17647.5,3028.5
162,260.1,,,45462.1,,,17737.1,3112.1
163,260.0,,,45698.3,,,17997.2,3350.4
164,260.2,,,45802.8,,,17997.4,3400.1
165,271.8,,,47877.0,,,18340.6,3339.5
166,260.1,,,46478.9,,,18312.4,3391.5
167,260.9,,,47055.2,,,18626.9,3354.4
168,259.9,,,47125.4,,,18688.0,3447.5
169,261.0,,,47635.6,,,18963.4,3346.8
170,260.2,,,48003.0,,,19053.3,3466.4
171,260.2,,,48066.6,,,19314.6,3360.0
172,260.9,,,48570.8,,,19343.8,3395.2
173,261.0,,,48802.6,,,19599.7,3313.5
174,260.8,,,49111.8,,,19637.3,3349.9
175,260.9,,,49444.4,,,19888.7,3305.8
